Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-23,13.98,14.1,13.63,13.7,13.284323,199300,0
2022-02-24,13.59,13.59,13.15,13.37,12.964336,191600,1
2022-02-25,13.51,13.86,13.5,13.83,13.410379,142500,2
2022-02-28,13.62,13.85,13.57,13.74,13.32311,178300,3
2022-03-01,13.72,13.9,12.93,12.96,12.566776,220900,4
2022-03-02,13.04,13.26,12.83,13.07,12.673438,169700,5
2022-03-03,13.47,13.77,13.41,13.74,13.32311,204100,6
2022-03-04,13.54,13.83,13.46,13.55,13.138875,227900,7
2022-03-07,13.45,13.64,12.79,12.83,12.44072,353900,8
2022-03-08,12.91,13.2,12.7,12.83,12.44072,247500,9
2022-03-09,13.1,13.31,13.05,13.1,12.702529,203800,10
2022-03-10,12.85,13.17,12.78,12.94,12.547382,285400,11
2022-03-11,13.08,13.16,12.61,12.64,12.256485,205200,12
2022-03-14,12.65,13.04,12.42,12.98,12.586169,292900,13
2022-03-15,13.15,13.19,12.54,12.62,12.237092,244800,14
2022-03-16,12.69,12.91,12.64,12.79,12.401935,320200,15
2022-03-17,13,13.18,12.66,13.06,12.663742,299700,16
2022-03-18,13.01,13.35,12.46,12.8,12.411631,1526900,17
2022-03-21,13.08,13.73,12.89,12.94,12.547382,312400,18
2022-03-22,12.94,13.13,12.81,12.83,12.44072,233400,19
2022-03-23,12.73,13.21,12.63,13.08,12.683135,196300,20
2022-03-24,13.28,13.38,13.11,13.31,12.906157,201200,21
2022-03-25,13.34,13.71,13.27,13.42,13.012818,181300,22
2022-03-28,13.43,13.5,13.13,13.39,12.983729,230800,23
2022-03-29,13.5,13.78,13.14,13.15,12.751011,214300,24
2022-03-30,13.22,13.22,12.81,12.82,12.431024,198000,25
2022-03-31,12.68,12.76,12.33,12.38,12.136915,265600,26
2022-04-01,12.51,12.72,12.35,12.62,12.372202,244200,27
2022-04-04,12.34,12.51,12.18,12.3,12.058486,293400,28
2022-04-05,12.32,12.43,11.78,11.8,11.568303,230200,29
2022-04-06,11.72,11.72,11.38,11.6,11.372231,473900,30
2022-04-07,11.57,11.67,11.14,11.42,11.195765,255700,31
2022-04-08,11.55,11.55,10.99,10.99,10.774208,205300,32
2022-04-11,11,11.49,11,11.17,10.950673,331600,33
2022-04-12,11.3,11.72,11.2,11.42,11.195765,308300,34
2022-04-13,11.42,11.79,11.42,11.68,11.45066,221800,35
2022-04-14,11.71,11.96,11.69,11.94,11.705554,321600,36
2022-04-18,11.98,12.34,11.84,12.09,11.852609,457500,37
2022-04-19,12.11,12.5,12.05,12.28,12.038878,341500,38
2022-04-20,12.43,12.66,12.39,12.44,12.195736,235800,39
2022-04-21,12.48,12.8,12.46,12.53,12.283969,250200,40
2022-04-22,12.53,12.53,12.02,12.06,11.823198,216500,41
2022-04-25,12.02,12.11,11.61,11.68,11.45066,194500,42
2022-04-26,11.55,11.61,11.22,11.25,11.029102,172100,43
2022-04-27,11.32,11.41,11.09,11.22,10.999692,240200,44
2022-04-28,11.38,11.49,11.14,11.4,11.176157,171400,45
2022-04-29,11.32,11.34,10.94,11,10.784012,198200,46
2022-05-02,11.09,11.19,10.88,11.11,10.891851,272200,47
2022-05-03,11.14,11.15,8.94,9.4,9.215427,948100,48
2022-05-04,9.29,9.49,8.7,9.38,9.195821,652100,49
2022-05-05,9.34,9.34,8.72,8.83,8.65662,630100,50
2022-05-06,8.77,9.23,8.68,8.86,8.68603,418600,51
2022-05-09,8.74,8.79,7.97,8.16,7.999775,726100,52
2022-05-10,8.18,8.19,7.59,7.63,7.480183,719600,53
2022-05-11,7.71,8.06,7.65,7.87,7.71547,515400,54
2022-05-12,7.81,8.14,7.63,7.89,7.735077,400900,55
2022-05-13,7.97,8.45,7.6,8.34,8.176242,614000,56
2022-05-16,8.28,8.28,7.74,7.79,7.637041,261700,57
2022-05-17,7.92,8.1,7.82,8.02,7.862525,246400,58
2022-05-18,7.98,8.08,7.7,7.84,7.686059,427500,59
2022-05-19,7.71,8.02,7.45,7.97,7.813506,564000,60
2022-05-20,8.11,8.28,7.72,7.81,7.656648,349900,61
2022-05-23,7.92,8.22,7.53,8.08,7.921347,675900,62
2022-05-24,8.06,8.41,7.92,8.32,8.156633,416600,63
2022-05-25,8.31,8.68,8.24,8.64,8.470351,324200,64
2022-05-26,8.64,8.85,8.44,8.45,8.284081,465400,65
2022-05-27,8.57,8.73,8.53,8.67,8.499762,177400,66
2022-05-31,8.7,8.76,8.36,8.62,8.450744,730800,67
2022-06-01,8.58,8.88,8.32,8.45,8.284081,265100,68
2022-06-02,8.53,8.68,8.32,8.68,8.509565,231700,69
2022-06-03,8.63,8.63,8.2,8.22,8.058598,194500,70
2022-06-06,8.42,8.62,8.24,8.61,8.44094,314500,71
2022-06-07,8.5,8.68,8.33,8.58,8.411529,294600,72
2022-06-08,8.53,8.57,8.31,8.35,8.186046,210500,73
2022-06-09,8.25,8.36,8.08,8.12,7.960561,232500,74
2022-06-10,7.97,8,7.74,7.97,7.813506,221900,75
2022-06-13,7.76,7.76,7.19,7.34,7.195877,487900,76
2022-06-14,7.29,7.39,6.99,7,6.862553,327400,77
2022-06-15,7.12,7.28,6.86,7.15,7.009608,568100,78
2022-06-16,6.96,6.99,6.57,6.67,6.539032,565800,79
2022-06-17,6.76,6.97,6.68,6.8,6.66648,585700,80
2022-06-21,6.99,7.23,6.78,7.13,6.99,616300,81
2022-06-22,7.07,7.3,7.05,7.15,7.009608,456700,82
2022-06-23,7.2,7.36,7.08,7.28,7.137055,215900,83
2022-06-24,7.39,7.54,7.3,7.32,7.17627,568500,84
2022-06-27,7.39,7.51,7.31,7.34,7.195877,309100,85
2022-06-28,7.45,7.49,6.94,6.95,6.813534,272000,86
2022-06-29,6.92,7.13,6.74,7.13,6.99,366000,87
2022-06-30,6.83,6.97,6.64,6.88,6.88,276300,88
2022-07-01,6.88,7.26,6.88,7.23,7.23,376200,89
2022-07-05,7.03,7.13,6.79,7.05,7.05,281600,90
2022-07-06,7.09,7.09,6.54,6.67,6.67,296200,91
2022-07-07,6.74,6.8,6.56,6.6,6.6,370800,92
2022-07-08,6.61,6.69,6.4,6.5,6.5,246000,93
2022-07-11,6.5,6.61,6.38,6.5,6.5,334600,94
2022-07-12,6.52,6.78,6.52,6.55,6.55,282000,95
2022-07-13,6.5,6.5,6.25,6.4,6.4,208400,96
2022-07-14,6.31,6.58,6.19,6.54,6.54,300300,97
2022-07-15,6.69,6.78,6.43,6.54,6.54,343000,98
2022-07-18,6.6,6.77,6.56,6.69,6.69,276400,99
2022-07-19,6.81,7.03,6.74,6.85,6.85,528400,100
2022-07-20,6.8,6.96,6.69,6.71,6.71,387900,101
2022-07-21,6.6,6.64,6.25,6.37,6.37,330100,102
2022-07-22,6.36,6.38,6.11,6.3,6.3,312400,103
2022-07-25,6.37,6.4,6.09,6.4,6.4,368900,104
2022-07-26,6.4,6.4,6.02,6.03,6.03,320200,105
2022-07-27,6.09,6.35,6.04,6.31,6.31,419400,106
2022-07-28,6.39,6.54,6.18,6.2,6.2,342900,107
2022-07-29,6.2,6.22,5.98,6.14,6.14,387300,108
2022-08-01,6.2,6.37,6.05,6.34,6.34,452600,109
2022-08-02,6.87,7.13,5.87,5.91,5.91,764200,110
2022-08-03,5.95,6.01,5.62,5.73,5.73,566400,111
2022-08-04,5.74,5.81,5.37,5.45,5.45,522900,112
2022-08-05,5.38,5.38,4.89,5.03,5.03,665600,113
2022-08-08,5.1,5.49,5.05,5.29,5.29,405600,114
2022-08-09,5.26,5.32,5.13,5.3,5.3,344700,115
2022-08-10,5.39,5.45,5.26,5.31,5.31,406300,116
2022-08-11,5.41,5.45,5.25,5.43,5.43,342100,117
2022-08-12,5.48,5.69,5.39,5.67,5.67,331700,118
2022-08-15,5.62,5.69,5.45,5.64,5.64,415500,119
2022-08-16,5.65,5.9,5.55,5.88,5.88,589700,120
2022-08-17,5.84,5.84,5.65,5.66,5.66,294600,121
2022-08-18,5.66,5.7,5.55,5.59,5.59,138400,122
2022-08-19,5.55,5.56,5.2,5.26,5.26,414100,123
2022-08-22,5.23,5.45,5.15,5.29,5.29,310800,124
2022-08-23,5.25,5.33,5.2,5.21,5.21,317000,125
2022-08-24,5.26,5.26,4.88,4.91,4.91,420700,126
2022-08-25,4.97,5.34,4.93,5.31,5.31,489300,127
2022-08-26,5.31,5.39,4.97,5.01,5.01,305000,128
2022-08-29,4.98,4.98,4.54,4.78,4.78,653500,129
2022-08-30,4.84,5.01,4.67,4.95,4.95,578200,130
2022-08-31,4.96,5.04,4.84,4.87,4.87,538400,131
2022-09-01,4.77,4.83,4.62,4.8,4.8,389500,132
2022-09-02,4.9,5.14,4.85,4.94,4.94,450100,133
2022-09-06,4.51,4.56,3.81,4.36,4.36,2923200,134
2022-09-07,4.36,4.36,3.95,4.28,4.28,1675900,135
2022-09-08,4.33,4.5,4.01,4.5,4.5,1629200,136
2022-09-09,4.54,4.54,4.29,4.33,4.33,1257300,137
2022-09-12,4.41,4.53,4.15,4.52,4.52,1338300,138
2022-09-13,4.36,4.48,4.09,4.16,4.16,1344000,139
2022-09-14,4.13,4.24,4,4.13,4.13,1695800,140
2022-09-15,4.08,4.47,4.01,4.42,4.42,2318200,141
2022-09-16,4.33,4.38,4.05,4.2,4.2,10692400,142
2022-09-19,4.15,4.79,4.15,4.56,4.56,2221800,143
2022-09-20,4.51,4.88,4.42,4.67,4.67,1403500,144
2022-09-21,4.16,4.63,4.11,4.41,4.41,1479600,145
2022-09-22,4.33,4.42,4.23,4.39,4.39,1243800,146
2022-09-23,4.29,4.56,4.04,4.05,4.05,1030200,147
2022-09-26,4.02,4.04,3.62,3.73,3.73,809900,148
2022-09-27,3.79,3.79,3.52,3.55,3.55,771100,149
2022-09-28,3.58,3.62,3.46,3.47,3.47,782500,150
2022-09-29,3.4,3.42,3.21,3.28,3.28,758900,151
2022-09-30,3.3,3.37,3.1,3.11,3.11,1086300,152
2022-10-03,3.17,3.23,3.07,3.14,3.14,1346900,153
2022-10-04,3.2,3.41,3.2,3.36,3.36,1465500,154
2022-10-05,3.29,3.33,3.14,3.17,3.17,755400,155
2022-10-06,3.12,3.17,2.82,2.9,2.9,1121800,156
2022-10-07,2.86,2.86,2.62,2.71,2.71,925200,157
2022-10-10,2.69,2.85,2.69,2.77,2.77,880700,158
2022-10-11,2.71,2.77,2.63,2.71,2.71,819800,159
2022-10-12,2.68,2.77,2.28,2.33,2.33,2595900,160
2022-10-13,2.32,2.32,2.1,2.19,2.19,4747000,161
2022-10-14,2.23,2.28,2.08,2.08,2.08,2018900,162
2022-10-17,2.19,2.5,2.16,2.38,2.38,2532900,163
2022-10-18,2.45,2.89,2.45,2.84,2.84,2075200,164
2022-10-19,2.76,2.81,2.51,2.57,2.57,1367500,165
2022-10-20,2.56,2.74,2.53,2.56,2.56,862300,166
2022-10-21,2.57,2.74,2.55,2.69,2.69,784800,167
2022-10-24,2.68,2.75,2.5,2.5,2.5,882600,168
2022-10-25,2.5,2.67,2.46,2.61,2.61,783700,169
2022-10-26,2.63,2.86,2.61,2.66,2.66,734700,170
2022-10-27,2.68,3.02,2.63,2.79,2.79,932400,171
2022-10-28,2.84,3.05,2.82,3,3,836000,172
2022-10-31,2.99,2.99,2.78,2.83,2.83,820000,173
2022-11-01,2.86,3.04,2.85,2.98,2.98,851600,174
2022-11-02,3.01,3.01,2.8,2.83,2.83,756600,175
2022-11-03,2.62,2.79,2.52,2.71,2.71,525700,176
2022-11-04,2.8,3.13,2.77,3.1,3.1,840400,177
2022-11-07,3.15,3.73,3.12,3.67,3.67,1448100,178
2022-11-08,3.66,3.74,3.37,3.55,3.55,983400,179
2022-11-09,3.46,3.54,3.25,3.29,3.29,611100,180
2022-11-10,3.4,3.5,3.28,3.48,3.48,832200,181
2022-11-11,3.43,3.59,3.34,3.54,3.54,697300,182
2022-11-14,3.54,3.56,3.23,3.25,3.25,836200,183
2022-11-15,3.28,3.54,3.28,3.48,3.48,507800,184
2022-11-16,3.46,3.73,3.39,3.7,3.7,864900,185
2022-11-17,3.62,3.71,3.53,3.69,3.69,490600,186
2022-11-18,3.81,4,3.73,3.97,3.97,662100,187
2022-11-21,3.87,3.89,3.69,3.8,3.8,709600,188
2022-11-22,3.82,3.98,3.75,3.96,3.96,329100,189
2022-11-23,3.97,4.09,3.89,4.06,4.06,320600,190
2022-11-25,4.04,4.11,3.86,3.98,3.98,266400,191
2022-11-28,3.95,3.96,3.69,3.72,3.72,374000,192
2022-11-29,3.75,3.84,3.6,3.73,3.73,371200,193
2022-11-30,3.76,3.76,3.38,3.47,3.47,2259000,194
2022-12-01,3.5,3.71,3.43,3.6,3.6,672100,195
2022-12-02,3.54,3.62,3.47,3.55,3.55,437700,196
2022-12-05,3.54,3.62,3.43,3.62,3.62,389300,197
2022-12-06,3.63,3.72,3.57,3.7,3.7,556100,198
2022-12-07,3.68,3.75,3.54,3.56,3.56,227400,199
2022-12-08,3.57,3.6,3.35,3.4,3.4,335700,200
2022-12-09,3.4,3.65,3.35,3.54,3.54,317700,201
2022-12-12,3.53,3.62,3.35,3.62,3.62,387800,202
2022-12-13,3.73,3.88,3.32,3.32,3.32,601200,203
2022-12-14,3.35,3.51,3.29,3.43,3.43,566100,204
2022-12-15,3.35,3.4,3.27,3.33,3.33,391700,205
2022-12-16,3.28,3.28,3.01,3.09,3.09,1219200,206
2022-12-19,3.07,3.1,2.79,2.9,2.9,739000,207
2022-12-20,2.9,2.92,2.74,2.8,2.8,840000,208
2022-12-21,2.85,2.95,2.82,2.86,2.86,473300,209
2022-12-22,2.81,2.99,2.78,2.97,2.97,362900,210
2022-12-23,2.94,3.03,2.79,2.86,2.86,347300,211
2022-12-27,2.86,2.86,2.66,2.75,2.75,417500,212
2022-12-28,2.75,2.82,2.57,2.65,2.65,465400,213
2022-12-29,2.68,2.84,2.67,2.8,2.8,561100,214
2022-12-30,2.72,2.84,2.72,2.78,2.78,447900,215
2023-01-03,2.83,2.98,2.78,2.83,2.83,563300,216
2023-01-04,2.86,2.96,2.84,2.88,2.88,338700,217
2023-01-05,2.87,2.88,2.66,2.67,2.67,411800,218
2023-01-06,2.7,2.93,2.67,2.86,2.86,464200,219
2023-01-09,2.89,3.3,2.88,3.2,3.2,765300,220
2023-01-10,3.2,3.37,3.09,3.35,3.35,475800,221
2023-01-11,3.39,3.4,3.31,3.35,3.35,501200,222
2023-01-12,3.38,3.46,3.31,3.45,3.45,290900,223
2023-01-13,3.46,3.53,3.4,3.5,3.5,433900,224
2023-01-17,3.53,3.65,3.5,3.53,3.53,467000,225
2023-01-18,3.5,3.56,3.31,3.34,3.34,369300,226
2023-01-19,3.28,3.3,3.15,3.23,3.23,342700,227
2023-01-20,3.26,3.32,3.17,3.31,3.31,344800,228
2023-01-23,3.31,3.42,3.28,3.35,3.35,347800,229
2023-01-24,3.37,3.55,3.31,3.54,3.54,364400,230
2023-01-25,3.41,3.91,3.4,3.89,3.89,1097100,231
2023-01-26,3.89,4.07,3.88,4.05,4.05,427100,232
2023-01-27,4.12,4.44,4.07,4.35,4.35,648900,233
2023-01-30,4.31,4.34,4.14,4.23,4.23,544400,234
2023-01-31,4.23,4.49,4.23,4.38,4.38,551500,235
2023-02-01,4.35,4.87,4.32,4.66,4.66,1139500,236
2023-02-02,4.71,4.82,4.64,4.72,4.72,404700,237
2023-02-03,4.65,4.72,4.61,4.64,4.64,321200,238
2023-02-06,4.6,4.76,4.5,4.58,4.58,395400,239
2023-02-07,4.54,4.54,4.37,4.45,4.45,279800,240
2023-02-08,4.38,4.4,4.2,4.32,4.32,238600,241
2023-02-09,4.37,4.37,3.99,4.06,4.06,280400,242
2023-02-10,4.03,4.17,3.97,4.17,4.17,199700,243
2023-02-13,4.17,4.23,4.02,4.19,4.19,243700,244
2023-02-14,4.14,4.21,4.05,4.17,4.17,187400,245
2023-02-15,4.11,4.2,4.04,4.16,4.16,298100,246
2023-02-16,4.04,4.11,3.97,3.98,3.98,323500,247
2023-02-17,4.01,4.07,3.89,4.04,4.04,283000,248
2023-02-21,4,4.14,3.47,3.63,3.63,1264200,249
2023-02-22,3.65,3.78,3.45,3.49,3.49,550900,250
2023-02-23,3.72,3.7812,3.61,3.755,3.755,754883,251